GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_001,ru.job4j.it,MatrixIt,2,86,2,10,1,15,2,7,0,3
chapter_001,ru.job4j.it,BackwardArrayIt,0,43,0,4,0,9,0,5,0,3
